gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
TGFBI,3,BAT,COLON,LUNG,"","","",Orphanet_98960,0.631138815177163,"Thiel-Behnke corneal dystrophy: Thiel-Behnke corneal dystrophy (TBCD) is a rare form of superficial corneal dystrophy characterized by sub-epithelial honeycomb-shaped corneal opacities in the superficial cornea, and progressive visual impairment.",ENSG00000120708
GOT2,3,HEART,SKM-GN,SKM-VL,"","","",Orphanet_1934,0.628747776274174,"Early infantile epileptic encephalopathy: Early infantile epileptic encephalopathy (EIEE), or Ohtahara syndrome, is one of the most severe forms of age-related epileptic encephalopathies, characterized by the onset of tonic spasms within the first 3 months of life that can be generalized or lateralized, independent of the sleep cycle and that can occur hundreds of times per day, leading to psychomotor impairment and death.",ENSG00000125166
APOB,3,COLON,KIDNEY,LUNG,"","","",EFO_0000589,0.627407563536776,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)",ENSG00000084674
CALM1,3,BLOOD,SKM-VL,SPLEEN,"","","",Orphanet_101016,0.621971940556921,Romano-Ward syndrome: NA,ENSG00000198668
APOB,3,COLON,KIDNEY,LUNG,"","","",MONDO_0007751,0.618532951243147,"hypercholesterolemia, autosomal dominant, type B: NA",ENSG00000084674
HMOX1,3,ADRNL,HEART,LIVER,"","","",MONDO_0013536,0.617331816715421,heme oxygenase 1 deficiency: NA,ENSG00000100292
ATP5F1A,3,BAT,HEART,SKM-VL,"","","",Orphanet_254913,0.616223077151367,"Isolated ATP synthase deficiency: A rare, genetic, mitochondrial oxidative phosphorylation disorder that may present with a wide range of symptoms (including muscular hypotonia, hypertrophic cardiomyopathy, psychomotor delay, encephalopathy, peripheral neuropathy, lactic acidosis, 3-methylglutaconic aciduria) and clinical syndromes (including NARP and MILS).",ENSG00000152234
TUBB2A,3,ADRNL,COLON,SPLEEN,"","","",MONDO_0007254,0.611526457405148,breast cancer: A primary or metastatic malignant neoplasm involving the breast. The vast majority of cases are carcinomas arising from the breast parenchyma or the nipple. Malignant breast neoplasms occur more frequently in females than in males.,ENSG00000137267
SLC6A8,3,HEART,LIVER,LUNG,"","","",HP_0001249,0.610184552970102,"Intellectual disability: Subnormal intellectual functioning which originates during the developmental period. Intellectual disability, previously referred to as mental retardation, has been defined as an IQ score below 70.",ENSG00000130821
MT-ND4,3,BAT,HEART,SKM-VL,"","","",MONDO_0005148,0.60846894801344,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000198886
NDUFB5,3,BAT,COLON,SKM-VL,"","","",MONDO_0005148,0.607822183267742,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000136521
F2,3,COLON,LUNG,SKM-VL,"","","",EFO_0004286,0.607629572445755,venous thromboembolism: Occlusion of the lumen of a vein by a thrombus that has migrated from a distal site via the blood stream.,ENSG00000180210
NDUFA11,3,BAT,BLOOD,HEART,"","","",MONDO_0005148,0.607452603413057,type 2 diabetes mellitus: A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,ENSG00000174886
ATP5F1D,3,BAT,HEART,SKM-VL,"","","",Orphanet_254913,0.60698358078425,"Isolated ATP synthase deficiency: A rare, genetic, mitochondrial oxidative phosphorylation disorder that may present with a wide range of symptoms (including muscular hypotonia, hypertrophic cardiomyopathy, psychomotor delay, encephalopathy, peripheral neuropathy, lactic acidosis, 3-methylglutaconic aciduria) and clinical syndromes (including NARP and MILS).",ENSG00000099624
LIMS2,3,BAT,HEART,SKM-VL,"","","",Orphanet_102015,0.60581619090623,Autosomal recessive limb-girdle muscular dystrophy: Autosomal recessive form of limb-girdle muscular dystrophy.,ENSG00000072163
TUBB2A,3,ADRNL,COLON,SPLEEN,"","","",EFO_0003060,0.60567881126129,"non-small cell lung carcinoma: A group of at least three distinct histological types of lung cancer, including non-small cell squamous cell carcinoma, adenocarcinoma, and large cell carcinoma. Non-small cell lung carcinomas have a poor response to conventional chemotherapy.",ENSG00000137267
GOT1,3,HEART,SKM-GN,SKM-VL,"","","",EFO_0004736,0.605162024119775,"aspartate aminotransferase measurement: Is a quantification of aspartate aminotransferase, and is commonly used as a marker for liver function.",ENSG00000120053
MT-ND4,3,BAT,HEART,SKM-VL,"","","",EFO_0000400,0.604032612898013,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000198886
TUBB2A,3,ADRNL,COLON,SPLEEN,"","","",EFO_0000616,0.602997514905593,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",ENSG00000137267
NDUFB5,3,BAT,COLON,SKM-VL,"","","",EFO_0000400,0.602836611423825,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000136521
NDUFA11,3,BAT,BLOOD,HEART,"","","",EFO_0000400,0.602836611423825,diabetes mellitus: A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,ENSG00000174886
TUBB2A,3,ADRNL,COLON,SPLEEN,"","","",EFO_0000305,0.600889208246513,breast carcinoma: A carcinoma that arises from epithelial cells of the breast,ENSG00000137267
ATP1A1,3,BAT,LIVER,SKM-GN,"","","",EFO_0000373,0.600751855132913,"congestive heart failure: Heart failure accompanied by EDEMA, such as swelling of the legs and ankles and congestion in the lungs.",ENSG00000163399
HRAS,2,COLON,SKM-VL,"","","","",Orphanet_3071,0.868630213077545,"Costello syndrome: Costello syndrome (CS) is a rare multisystemic disorder characterized by failure to thrive, short stature, developmental delay or intellectual disability, joint laxity, soft skin, and distinctive facial features. Cardiac and neurological involvement is common and there is an increased lifetime risk of certain tumors.",ENSG00000174775
GAA,2,ADRNL,HEART,"","","","",Orphanet_365,0.865004176228976,"Glycogen storage disease due to acid maltase deficiency: Glycogen storage disease due to acid maltase deficiency (AMD) is an autosomal recessive trait leading to metabolic myopathy that affects cardiac and respiratory muscles in addition to skeletal muscle and other tissues. AMD represents a wide spectrum of clinical presentations caused by an accumulation of glycogen in lysosomes: Glycogen storage disease due to acid maltase deficiency, infantile onset, non-classic infantile onset and adult onset. Early onset forms are more severe and often fatal.",ENSG00000171298
SLC4A1,2,BLOOD,HEART,"","","","",Orphanet_822,0.853183094759324,"Hereditary spherocytosis: Hereditary spherocytosis is a congenital hemolytic anemia with a wide clinical spectrum (from symptom-free carriers to severe hemolysis) characterized by anemia, variable jaundice, splenomegaly and cholelithiasis.",ENSG00000004939
COL3A1,2,LUNG,SKM-GN,"","","","",Orphanet_286,0.851475312042074,"Ehlers-Danlos syndrome, vascular type: Ehlers-Danlos syndrome type IV, also known as the vascular type of Ehlers-Danlos syndrome (EDS), is an inherited connective tissue disorder defined by characteristic facial features (acrogeria) in most patients, translucent skin with highly visible subcutaneous vessels on the trunk and lower back, easy bruising, and severe arterial, digestive and uterine complications, which are rarely, if at all, observed in the other forms of EDS.",ENSG00000168542
TGFBR2,2,ADRNL,COLON,"","","","",Orphanet_60030,0.844537022669031,"Loeys-Dietz syndrome: Loeys-Dietz syndrome is a rare genetic connective tissue disorder characterized by a broad spectrum of craniofacial, vascular and skeletal manifestations with four genetic subtypes described forming a clinical continuum.",ENSG00000163513
GLB1,2,ADRNL,COLON,"","","","",Orphanet_79255,0.842745674887448,GM1 gangliosidosis type 1: GM1 gangliosidosis type 1 is the severe infantile form of GM1 gangliosidosis (see this term) with variable neurological and systemic manifestations.,ENSG00000170266
PKLR,2,BLOOD,KIDNEY,"","","","",Orphanet_766,0.840153523499053,Hemolytic anemia due to red cell pyruvate kinase deficiency: Hemolytic anemia due to red cell pyruvate kinase (PK) deficiency is a metabolic disorder characterized by a variable degree of chronic nonspherocytic hemolytic anemia.,ENSG00000143627
FOXP3,2,HEART,SPLEEN,"","","","",Orphanet_37042,0.840045550521703,"Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome: Immunodysregulation - polyendocrinopathy - enteropathy - X-linked (IPEX) syndrome is a severe congenital systemic autoimmune disease characterized by refractory diarrhea, endocrinopathies, cutaneous involvement, and infections.",ENSG00000049768
FXN,2,BLOOD,SPLEEN,"","","","",Orphanet_95,0.839243283960519,"Friedreich ataxia: Friedreich ataxia (FRDA) is an inherited neurodegenerative disorder classically characterized by progressive gait and limb ataxia, dysarthria, dysphagia, oculomotor dysfunction, loss of deep tendon reflexes, pyramidal tract signs, scoliosis, and in some, cardiomyopathy, diabetes mellitus, visual loss and defective hearing.",ENSG00000165060
GLB1,2,ADRNL,COLON,"","","","",Orphanet_309310,0.836263597196971,Mucopolysaccharidosis type 4B: A rare autosomal recessive lysosomal storage disease caused by deficiency of the enzyme beta galactosidase. It is characterized by skeletal dysplasia and short stature.,ENSG00000170266
CTSA,2,ADRNL,BAT,"","","","",Orphanet_351,0.832590814024673,"Galactosialidosis: A lysosomal storage disease characterized by coarse facial features, macular ''cherry red spot'', and dysostosis multiplex. Clinical presentation can be heterogenous ranging from a severe, early-onset, rapidly progressive infantile form to late onset, slowly progressive juvenile/adult form.",ENSG00000064601
GLB1,2,ADRNL,COLON,"","","","",Orphanet_79256,0.832350682432209,"GM1 gangliosidosis type 2: GM1 gangliosidosis type 2 is a clinically variable, infancy or childhood-onset form of GM1 gangliosidosis characterized by normal early development and psychomotor regression between seven months and three years of age.",ENSG00000170266
SCN4A,2,LUNG,SKM-VL,"","","","",Orphanet_684,0.830314024523341,Paramyotonia congenita of Von Eulenburg: Paramyotonia congenita of Von Eulenburg is characterised by exercise- or cold-induced myotonia and muscle weakness. Prevalence is unknown. The syndrome is nonprogressive and is transmitted as an autosomal dominant trait. It is caused by mutations in the gene encoding the alpha subunit of the type IV voltage-gated sodium channel (SCN4A; 17q23.3).,ENSG00000007314
AFG3L2,2,BAT,HEART,"","","","",Orphanet_101109,0.829702531539966,"Spinocerebellar ataxia type 28: Spinocerebellar ataxia type 28 (SCA28) is a very rare subtype of type I autosomal dominant cerebellar ataxia (ADCA type I; see this term). It is characterized by juvenile onset, slowly progressive cerebellar ataxia due to Purkinje cell degeneration.",ENSG00000141385
SCN4A,2,LUNG,SKM-VL,"","","","",Orphanet_682,0.827756507474503,Hyperkalemic periodic paralysis: Hyperkalemic periodic paralysis (HyperPP) is a muscle disorder characterized by episodic attacks of muscle weakness associated with an increase in serum potassium concentration.,ENSG00000007314
ETFDH,2,BAT,KIDNEY,"","","","",Orphanet_26791,0.82594366559792,"Multiple acyl-CoA dehydrogenase deficiency: Multiple acyl-CoA dehydrogenation deficiency (MADD) is a disorder of fatty acid and amino acid oxidation and is a clinically heterogeneous disorder ranging from a severe neonatal presentation with metabolic acidosis, cardiomyopathy and liver disease, to a mild childhood/adult disease with episodic metabolic decompensation, muscle weakness, and respiratory failure.",ENSG00000171503
ACTG1,2,BAT,SPLEEN,"","","","",Orphanet_2995,0.824546959267628,"Baraitser-Winter syndrome: Baraitser-Winter syndrome (BWS) is a malformation syndrome, characterized by facial dysmorphism (hypertelorism with ptosis, broad bulbous nose, ridged metopic suture, arched eyebrows, progressive coarsening of the face), ocular coloboma, pachygyria and/or band heterotopias with antero-posterior gradient, progressive joint stiffening, and intellectual deficit of variable severity, often with severe epilepsy. Pachygyria - epilepsy - intellectual disability - dysmorphism (Fryns-Aftimos syndrome (FA)) corresponds to the appearance of BWS in elderly patients.",ENSG00000184009
NPC2,2,BAT,LUNG,"","","","",Orphanet_646,0.823796720893522,Niemann-Pick disease type C: NPC is a complex lipid storage disease mainly characterized by the accumulation of unesterified cholesterol in the late endosomal/lysosomal compartment.,ENSG00000119655
DPYD,2,ADRNL,KIDNEY,"","","","",Orphanet_1675,0.82310830021591,"Dihydropyrimidine dehydrogenase deficiency: Dihydropyrimidine dehydrogenase (DPD) deficiency isaconditionin which the body cannot break down the nucleotides thymine and uracil. DPD deficiency can have a wide range of severity; some individuals may have various neurological problems, while others have no signsand symptoms. Signs and symptoms in severely affected individuals begin in infancy and may include seizures, intellectual disability, microcephaly, increased muscle tone (hypertonia), delayed motor skills, and autistic behavior. All individuals with the condition, regardless of the presence or severity of symptoms, are at risk for severe, toxic reactions to drugs called fluoropyrimidines which are used to treat cancer. Individuals with no symptoms may be diagnosed only by laboratory testing or after exposure to fluoropyrimidines. DPD deficiency is caused by mutations in the DPYD gene and is inherited in an autosomal recessive manner.",ENSG00000188641
MYO7A,2,ADRNL,BAT,"","","","",Orphanet_886,0.821670908079003,Usher syndrome: Usher syndrome (US) is characterized by the association of sensorineural deafness (usually congenital) with retinitis pigmentosa and progressive vision loss.,ENSG00000137474
GLB1,2,ADRNL,COLON,"","","","",Orphanet_79257,0.819428499869016,"GM1 gangliosidosis type 3: GM1 gangliosidosis type 3 is a mild, chronic, adult form of GM1 gangliosidosis (see this term) characterized by onset generally during childhood or adolescence and by cerebellar dysfunction.",ENSG00000170266
MAPT,2,HEART,SKM-VL,"","","","",Orphanet_282,0.818776094030764,"Frontotemporal dementia: Frontotemporal dementia (FTD) comprises a group of neurodegenerative disorders, characterized by progressive changes in behavior, executive dysfunction and language impairment, as a result of degeneration of the medial prefrontal and frontoinsular cortices. Four clinical subtypes have been identified: semantic dementia, progressive non-fluent aphasia, behavioral variant FTD and right temporal lobar atrophy.",ENSG00000186868
MMUT,2,BAT,KIDNEY,"","","","",MONDO_0009612,0.818422468106288,"methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency: Vitamin B12-unresponsive methylmalonic acidemia is an inborn error of vitamin B12 (cobalamin) metabolism characterized by recurrent ketoacidotic crises or transient vomiting, dehydration, hypotonia and intellectual deficit, which does not respond to administration of vitamin B12. There are two types of vitamin B12-unresponsive methylmalonic acidemia: mut0 and mut-.",ENSG00000146085
SCN4A,2,LUNG,SKM-VL,"","","","",Orphanet_681,0.818248577654715,Hypokalemic periodic paralysis: Hypokalemic periodic paralysis (hypoPP) is characterised by episodes of muscle paralysis lasting from a few to 24-48 hours and associated with a fall in blood potassium levels.,ENSG00000007314
PHYH,2,COLON,SKM-VL,"","","","",Orphanet_773,0.817738593676147,"Refsum disease: A very rare, clinically variable, multisystemic metabolic disease, characterized by anosmia, early-onset retinitis pigmentosa and possible neurological manifestations, including neuropathy, and cerebellar ataxia, deafness, ichthyosis, skeletal abnormalities, and cardiac arrhythmia. It is characterized biochemically by accumulation of phytanic acid in plasma and tissues.",ENSG00000107537
TGFBR2,2,ADRNL,COLON,"","","","",Orphanet_91387,0.817451373821439,"Familial thoracic aortic aneurysm and aortic dissection: A rare genetic vascular disease characterized by the familial occurrence of thoracic aortic aneurysm, dissection or dilatation affecting one or more aortic segments (aortic root, ascending aorta, arch or descending aorta) in the absence of any other associated disease. Depending on the size, location and progression rate of dilatation/dissection, patients may be asymptomatic or may present dyspnea, cough, jaw, neck, chest or back pain, head, neck or upper limb edema, difficulty swallowing, voice hoarseness, pale skin, faint pulse and/or numbness/tingling in limbs. Patients have increased risk of presenting life threatening aortic rupture.",ENSG00000163513
MMUT,2,BAT,KIDNEY,"","","","",Orphanet_79312,0.817273218625289,"Vitamin B12-unresponsive methylmalonic acidemia type mut-: Vitamin B12-unresponsive methylmalonic acidemia type mut- is an inborn error of metabolism characterized by recurrent ketoacidotic comas or transient vomiting, dehydration, hypotonia and intellectual deficit, which does not respond to administration of vitamin B12.",ENSG00000146085
MYO7A,2,ADRNL,BAT,"","","","",MONDO_0700087,0.814330564339169,Usher syndrome type 1B: Usher syndrome in which the cause of the disease is a mutation in the MYO7A gene,ENSG00000137474
PGK1,2,ADRNL,BAT,"","","","",Orphanet_713,0.813888708824669,"Glycogen storage disease due to phosphoglycerate kinase 1 deficiency: Phosphoglycerate kinase (PGK) deficiency is a metabolic disorder characterized by variable combinations of nonspherocytic hemolytic anemia, myopathy, and various central nervous system abnormalities.",ENSG00000102144
BCKDHB,2,BAT,HEART,"","","","",Orphanet_511,0.813786309358579,"Maple syrup urine disease: Maple syrup urine disease (MSUD) is a rare inherited disorder of branched-chain amino acid metabolism classically characterized by poor feeding, lethargy, vomiting and a maple syrup odor in the cerumen (and later in urine) noted soon after birth, followed by progressive encephalopathy and central respiratory failure if untreated. The four overlapping phenotypic subtypes are: classic, intermediate, intermittent and thiamine responsive MSUD (see these terms).",ENSG00000083123
GLB1,2,ADRNL,COLON,"","","","",Orphanet_354,0.811260266454485,"GM1 gangliosidosis: A rare lysosomal storage disorder characterized biochemically by deficient beta-galactosidase activity and clinically by a wide range of variable neurovisceral, ophthalmological and dysmorphic features.",ENSG00000170266
WDR62,2,SKM-VL,SPLEEN,"","","","",Orphanet_2512,0.808116853241951,Autosomal recessive primary microcephaly: Autosomal recessive primary microcephaly (MCPH) is a rare genetically heterogeneous disorder of neurogenic brain development characterized by reduced head circumference at birth with no gross anomalies of brain architecture and variable degrees of intellectual impairment.,ENSG00000075702
CYB5R3,2,ADRNL,BLOOD,"","","","",Orphanet_621,0.807243723970675,Hereditary methemoglobinemia: Methemoglobinemia inherited in an autosomal recessive pattern. It is caused by deficiency of the enzyme NADH methemoglobin reductase or the presence of abnormal hemoglobin M. It presents with cyanosis early in life. There is no evidence of cardiopulmonary disease present.,ENSG00000100243
FHL1,2,HEART,SKM-VL,"","","","",Orphanet_97239,0.806979070822218,Reducing body myopathy: Reducing body myopathy (RBM) is a rare muscle disorder marked by progressive muscle weakness and the presence of characteristic inclusion bodies in affected muscle fibres.,ENSG00000022267
SQSTM1,2,BLOOD,HEART,"","","","",Orphanet_275872,0.806254515654669,"Frontotemporal dementia with motor neuron disease: Frontotemporal dementia with motor neuron disease (FTD-MND) is a type of frontotemporal lobar degeneration characterized by the insidious onset (between the ages of 38-78 years) of dementia-associated psychiatric symptoms (e.g. personality changes, uninhibited behavior, irritability, aggressiveness), memory difficulties, global intellectual impairment, emotional disorders and transcortical motor aphasia that eventually leads to mutism, in addition to the manifestations of motor neuron disease such as neurogenic muscular wasting (similar to what is seen in amyotrophic lateral sclerosis). The disease is progressive, with death occurring 2-5 years after onset.",ENSG00000161011
NBEAL2,2,HEART,SPLEEN,"","","","",Orphanet_721,0.805556881630223,"Gray platelet syndrome: Gray platelet syndrome (GPS) is a rare inherited bleeding disorder characterized by macrothrombocytopenia, myelofibrosis, splenomegaly and typical gray appearance of platelets on Wright stained peripheral blood smear.",ENSG00000160796
GATA3,2,HEART,SPLEEN,"","","","",Orphanet_2237,0.803845791128441,"Hypoparathyroidism - deafness - renal disease: The HDR syndrome is an inherited condition consisting of hypoparathyroidism, sensorineural deafness and renal disease.",ENSG00000107485
ALAD,2,BLOOD,COLON,"","","","",Orphanet_100924,0.802004812773113,Porphyria due to ALA dehydratase deficiency: Porphyria of doss or deficiency of delta-aminolevulinic acid dehydratase (DALAD) is an extremely rare form of acute hepatic porphyria characterized by neuro-visceral attacks without cutaneous manifestations.,ENSG00000148218
TGFBR2,2,ADRNL,COLON,"","","","",Orphanet_284973,0.80121242260001,Marfan syndrome type 2: NA,ENSG00000163513
RPS24,2,BLOOD,KIDNEY,"","","","",Orphanet_124,0.800760586538311,Blackfan-Diamond anemia: A congenital aregenerative and often macrocytic anemia with erythroblastopenia.,ENSG00000138326
ACTG1,2,BAT,SPLEEN,"","","","",Orphanet_90635,0.798506390267437,Autosomal dominant non-syndromic sensorineural deafness type DFNA: NA,ENSG00000184009
RPS10,2,BLOOD,HEART,"","","","",Orphanet_124,0.798358403483198,Blackfan-Diamond anemia: A congenital aregenerative and often macrocytic anemia with erythroblastopenia.,ENSG00000124614
TGFBR2,2,ADRNL,COLON,"","","","",Orphanet_558,0.796366895785825,"Marfan syndrome: A disorder of the connective tissue. Connective tissue provides strength and flexibility to structures throughout the body such as bones, ligaments, muscles, walls of blood vessels, and heart valves. Marfan syndrome affects most organs and tissues, especially the skeleton, lungs, eyes, heart, and the large blood vessel that distributes blood from the heart to the rest of the body (the aorta). It is caused by mutations in the FBN1 gene, which provides instructions for making a protein called fibrillin-1. Marfan syndrome is inherited in an autosomal dominant pattern. At least 25% of cases are due to a new (de novo) mutation. Treatment is based on the signs and symptoms in each person.",ENSG00000163513
SLC4A1,2,BLOOD,HEART,"","","","",Orphanet_18,0.79603145219391,"Distal renal tubular acidosis: Distal renal tubular acidosis (dRTA) is a disorder of impaired net acid secretion by the distal tubule characterized by hyperchloremic metabolic acidosis. The classic form is often associated with hypokalemia whereas other forms of acquired dRTA may be associated with hypokalemia, hyperkalemia or normokalemia.",ENSG00000004939
SQSTM1,2,BLOOD,HEART,"","","","",EFO_0004261,0.794785788122295,"osteitis deformans: A disease marked by repeated episodes of increased bone resorption followed by excessive attempts at repair, resulting in weakened, deformed bones of increased mass. The resultant architecture of the bone assumes a mosaic pattern in which the fibers take on a haphazard pattern instead of the normal parallel symmetry.",ENSG00000161011
REEP1,2,LUNG,SKM-VL,"","","","",Orphanet_101011,0.793976245529691,"Autosomal dominant spastic paraplegia type 31: A rare type of hereditary spastic paraplegia usually characterized by a pure phenotype of proximal weakness of the lower extremities with spastic gait and brisk reflexes, with a bimodal age of onset of either childhood or adulthood (>30 years). In some cases, it can present as a complex phenotype with additional associated manifestations including peripheral neuropathy, bulbar palsy (with dysarthria and dysphagia), distal amyotrophy, and impaired distal vibration sense.",ENSG00000068615
SQSTM1,2,BLOOD,HEART,"","","","",Orphanet_275864,0.793806195599023,"Behavioral variant of frontotemporal dementia: Behavioral variant of frontotemporal dementia (bv-FTD) is a form of frontotemporal dementia (FTD), characterized by progressive behavioral impairment and a decline in executive function with frontal lobe-predominant atrophy.",ENSG00000161011
SCN4A,2,LUNG,SKM-VL,"","","","",Orphanet_612,0.793590983378456,"Potassium-aggravated myotonia: Potassium-aggravated myotonia (PAM) is a muscular channelopathy presenting with a pure myotonia dramatically aggravated by potassium ingestion, with variable cold sensitivity and no episodic weakness. This group includes three forms: myotonia fluctuans, myotonia permanens, and acetazolamide-responsive myotonia.",ENSG00000007314
KLHL40,2,HEART,SKM-VL,"","","","",MONDO_0014138,0.791277234071551,"nemaline myopathy 8: An autosomal recessive myopathy caused by mutations in the KLHL40 gene, encoding Kelch-like protein 40. The phenotype is highly variable, and as such attempts at classification by clinical features is not optimal. Generally, affected individuals have generalized muscle weakness, and typically involves proximal muscles, the face, bulbar and respiratory muscles.",ENSG00000157119
DLD,2,BAT,HEART,"","","","",Orphanet_511,0.790212141216552,"Maple syrup urine disease: Maple syrup urine disease (MSUD) is a rare inherited disorder of branched-chain amino acid metabolism classically characterized by poor feeding, lethargy, vomiting and a maple syrup odor in the cerumen (and later in urine) noted soon after birth, followed by progressive encephalopathy and central respiratory failure if untreated. The four overlapping phenotypic subtypes are: classic, intermediate, intermittent and thiamine responsive MSUD (see these terms).",ENSG00000091140
DLD,2,BAT,HEART,"","","","",Orphanet_2394,0.789453574119161,"Pyruvate dehydrogenase E3 deficiency: Pyruvate dehydrogenase E3 deficiency is a very rare subtype of pyruvate dehydrogenase deficiency (PDHD, see this term) characterized by either early-onset lactic acidosis and delayed development, later-onset neurological dysfunction or liver disease.",ENSG00000091140
CA2,2,LIVER,SKM-GN,"","","","",Orphanet_2785,0.787775806487291,"Osteopetrosis with renal tubular acidosis: Osteopetrosis with renal tubular acidosis is a rare disorder characterized by osteopetrosis (see this term), renal tubular acidosis (RTA), and neurological disorders related to cerebral calcifications.",ENSG00000104267
HSD11B2,2,ADRNL,KIDNEY,"","","","",Orphanet_320,0.786310088312328,"Apparent mineralocorticoid excess: Apparent mineralocorticoid excess (AME) is a rare form of pseudohyperaldosteronism characterized by very early-onset and severe hypertension, associated with low renin levels and hypoaldosteronism.",ENSG00000176387
MAPT,2,HEART,SKM-VL,"","","","",Orphanet_683,0.784685146937223,"Progressive supranuclear palsy: Progressive supranuclear palsy (PSP) is a rare late-onset neurodegenerative disease characterized by supranuclear gaze palsy, postural instability, progressive rigidity, and mild dementia.",ENSG00000186868
SLC4A1,2,BLOOD,HEART,"","","","",Orphanet_93608,0.781271915372987,Autosomal dominant distal renal tubular acidosis: Autosomal dominant distal renal tubular acidosis (AD dRTA) is an inherited form of distal renal tubular acidosis (dRTA) characterized by hyperchloremic metabolic acidosis often but not always associated with hypokalemia.,ENSG00000004939
PNP,2,ADRNL,SPLEEN,"","","","",Orphanet_760,0.780830728292502,"Purine nucleoside phosphorylase deficiency: Purine nucleoside phosphorylase deficiency is a purine metabolism disorder resulting in combined T and B cell immunodeficiency that results in recurrent infections. Children are particularly prone to viral infections (chicken pox, mumps, cytomegalovirus) and vaccines, but suppurant bacterial infections have also been noted. One third of all patients have anemia, and 2/3 have neurological signs (ataxia, spastic tetraplegy and tremor).",ENSG00000198805
FHL1,2,HEART,SKM-VL,"","","","",Orphanet_178461,0.778299523084219,"X-linked myopathy with postural muscle atrophy: X-linked myopathy with postural muscle atrophy is a rare progressive muscular dystrophy characterized by an adult-onset scapulo-axio-peroneal myopathy. Clinical presentation includes shoulder girdle atrophy, scapular winging, axial muscular atrophy of postural muscles combined with a generalized hypertrophy. Typically, neck rigidity, rigid spine, Achilles tendon shortening, and respiratory insufficiency later in disease course are present.",ENSG00000022267
KIAA1109,2,LIVER,SPLEEN,"","","","",MONDO_0060631,0.778128491706504,Alkuraya-Kucinskas syndrome: NA,ENSG00000138688
ALAD,2,BLOOD,COLON,"","","","",Orphanet_95157,0.77556111016967,"Acute hepatic porphyria: Acute hepatic porphyrias represent a sub-group of porphyrias (see this term) characterized by the occurrence of neuro-visceral attacks with or without cutaneous manifestations. Acute hepatic porphyrias encompass four diseases: acute intermittent porphyria (the most common), variagate porphyria, hereditary coproporphyria, and hereditary deficit of delta-aminolevulinic acid dehydratase (extremely rare) (see these terms).",ENSG00000148218
CRLF1,2,HEART,LUNG,"","","","",Orphanet_157820,0.774887251897393,"Cold-induced sweating syndrome: Cold-induced sweating syndrome (CISS) is characterized by profuse sweating (involving the chest, face, arms and trunk) induced by cold ambient temperature.",ENSG00000006016
SLC4A1,2,BLOOD,HEART,"","","","",Orphanet_93610,0.771870288207429,Distal renal tubular acidosis with anemia: Distal renal tubular acidosis (dRTA) with anemia is a very rare form of distal renal tubular acidosis (dRTA; see this term) characterized by a defect in renal acidification and hereditary hemolytic anemia.,ENSG00000004939
AFG3L2,2,BAT,HEART,"","","","",Orphanet_313772,0.771781326397651,"Early-onset spastic ataxia-neuropathy syndrome: Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome is a rare hereditary spastic ataxia disorder characterized by childhood onset of slowly progressive lower limb spastic paraparesis and cerebellar ataxia (with dysarthria, swallowing difficulties, motor degeneration), associated with sensorimotor neuropathy (including muscle weakness and distal amyotrophy in lower extremities) and progressive myoclonic epilepsy. Ocular signs (ptosis, oculomotor apraxia), dysmetria, dysdiadochokinesia, dystonic movements and myoclonus may also be associated.",ENSG00000141385
