"feature_ID" "human_ensembl_gene"
"25521" "ENSRNOG00000009088" "ENSG00000198431"
"25529" "ENSRNOG00000009090" "ENSG00000129562"
"25537" "ENSRNOG00000009094" "ENSG00000173598"
"25545" "ENSRNOG00000009097" "ENSG00000132305"
"25553" "ENSRNOG00000009102" "ENSG00000073712"
"25561" "ENSRNOG00000009103" "ENSG00000104472"
"25569" "ENSRNOG00000009104" "ENSG00000217128"
"25577" "ENSRNOG00000009110" "ENSG00000080815"
"25585" "ENSRNOG00000009112" "ENSG00000105854"
"25593" "ENSRNOG00000009113" "ENSG00000175130"
"25609" "ENSRNOG00000009116" "ENSG00000142856"
"25617" "ENSRNOG00000009117" "ENSG00000089723"
"25625" "ENSRNOG00000009125" "ENSG00000083520"
"25633" "ENSRNOG00000009131" "ENSG00000163874"
"25641" "ENSRNOG00000009134" "ENSG00000116670"
"25649" "ENSRNOG00000009137" "ENSG00000215114"
"25657" "ENSRNOG00000009139" "ENSG00000107164"
"25665" "ENSRNOG00000009140" "ENSG00000172247"
"25673" "ENSRNOG00000009145" "ENSG00000118922"
"25681" "ENSRNOG00000009148" "ENSG00000215883"
"25689" "ENSRNOG00000009152" "ENSG00000135387"
"25697" "ENSRNOG00000009153" "ENSG00000187288"
"25705" "ENSRNOG00000009155" "ENSG00000213619"
"25713" "ENSRNOG00000009156" "ENSG00000164548"
"25721" "ENSRNOG00000009157" "ENSG00000196371"
"25729" "ENSRNOG00000009161" "ENSG00000163539"
"25737" "ENSRNOG00000009163" "ENSG00000234545"
"25745" "ENSRNOG00000009166" "ENSG00000089737"
"25753" "ENSRNOG00000009170" "ENSG00000104093"
"25761" "ENSRNOG00000009175" "ENSG00000171135"
"25769" "ENSRNOG00000009176" "ENSG00000075975"
"25777" "ENSRNOG00000009177" "ENSG00000179639"
"25785" "ENSRNOG00000009183" "ENSG00000055070"
"25793" "ENSRNOG00000009192" "ENSG00000136104"
"25801" "ENSRNOG00000009195" "ENSG00000149115"
"25809" "ENSRNOG00000009196" "ENSG00000056586"
"25817" "ENSRNOG00000009199" "ENSG00000110455"
"25825" "ENSRNOG00000009204" "ENSG00000163701"
"25833" "ENSRNOG00000009205" "ENSG00000143013"
"25841" "ENSRNOG00000009207" "ENSG00000158480"
"25849" "ENSRNOG00000009208" "ENSG00000083535"
"25857" "ENSRNOG00000009211" "ENSG00000171860"
"25865" "ENSRNOG00000009217" "ENSG00000116663"
"25873" "ENSRNOG00000009220" "ENSG00000186889"
"25881" "ENSRNOG00000009222" "ENSG00000142627"
"25889" "ENSRNOG00000009224" "ENSG00000167967"
"25897" "ENSRNOG00000009225" "ENSG00000005243"
"25905" "ENSRNOG00000009233" "ENSG00000168876"
"25913" "ENSRNOG00000009236" "ENSG00000089818"
"25921" "ENSRNOG00000009243" "ENSG00000184232"
"25929" "ENSRNOG00000009244" "ENSG00000100439"
"25937" "ENSRNOG00000009245" "ENSG00000130713"
"25945" "ENSRNOG00000009248" "ENSG00000189266"
"25953" "ENSRNOG00000009250" "ENSG00000150787"
"25961" "ENSRNOG00000009252" "ENSG00000004142"
"25969" "ENSRNOG00000009255" "ENSG00000142444"
"25977" "ENSRNOG00000009258" "ENSG00000105810"
"25985" "ENSRNOG00000009260" "ENSG00000188822"
"25993" "ENSRNOG00000009263" "ENSG00000119632"
"26001" "ENSRNOG00000009264" "ENSG00000082805"
"26009" "ENSRNOG00000009266" "ENSG00000136938"
"26017" "ENSRNOG00000009267" "ENSG00000170340"
"26025" "ENSRNOG00000009271" "ENSG00000127616"
"26033" "ENSRNOG00000009274" "ENSG00000196968"
"26041" "ENSRNOG00000009275" "ENSG00000108424"
"26049" "ENSRNOG00000009278" "ENSG00000032742"
"26057" "ENSRNOG00000009280" "ENSG00000133606"
"26065" "ENSRNOG00000009281" "ENSG00000173163"
"26073" "ENSRNOG00000009282" "ENSG00000013374"
"26081" "ENSRNOG00000009285" "ENSG00000032389"
"26089" "ENSRNOG00000009289" "ENSG00000156958"
"26097" "ENSRNOG00000009290" "ENSG00000163002"
"26105" "ENSRNOG00000009291" "ENSG00000163687"
"26113" "ENSRNOG00000009296" "ENSG00000023608"
"26121" "ENSRNOG00000009297" "ENSG00000172586"
"26129" "ENSRNOG00000009300" "ENSG00000198586"
"26145" "ENSRNOG00000009302" "ENSG00000183309"
"26153" "ENSRNOG00000009303" "ENSG00000174442"
"26161" "ENSRNOG00000009309" "ENSG00000163875"
"26169" "ENSRNOG00000009310" "ENSG00000169251"
"26177" "ENSRNOG00000009313" "ENSG00000163956"
"26185" "ENSRNOG00000009318" "ENSG00000119685"
"26193" "ENSRNOG00000009322" "ENSG00000169193"
"26201" "ENSRNOG00000009323" "ENSG00000005238"
"26209" "ENSRNOG00000009325" "ENSG00000179163"
"26217" "ENSRNOG00000009329" "ENSG00000126368"
"26225" "ENSRNOG00000009330" "ENSG00000119899"
"26233" "ENSRNOG00000009331" "ENSG00000101336"
"26241" "ENSRNOG00000009333" "ENSG00000092094"
"26249" "ENSRNOG00000009334" "ENSG00000128944"
"26257" "ENSRNOG00000009338" "ENSG00000133703"
"26265" "ENSRNOG00000009339" "ENSG00000138778"
"26273" "ENSRNOG00000009340" "ENSG00000186130"
"26281" "ENSRNOG00000009341" "ENSG00000127124"
"26289" "ENSRNOG00000009342" "ENSG00000085265"
"26297" "ENSRNOG00000009345" "ENSG00000174607"
"26305" "ENSRNOG00000009346" "ENSG00000171448"
"26313" "ENSRNOG00000009347" "ENSG00000163219"
"26321" "ENSRNOG00000009348" "ENSG00000164867"
"26329" "ENSRNOG00000009350" "ENSG00000063015"
"26337" "ENSRNOG00000009351" "ENSG00000167881"
"26345" "ENSRNOG00000009354" "ENSG00000198435"
"26353" "ENSRNOG00000009355" "ENSG00000060491"
"26361" "ENSRNOG00000009358" "ENSG00000164823"
"26369" "ENSRNOG00000009360" "ENSG00000100092"
"26377" "ENSRNOG00000009364" "ENSG00000147684"
"26385" "ENSRNOG00000009369" "ENSG00000198113"
"26393" "ENSRNOG00000009370" "ENSG00000198933"
"26401" "ENSRNOG00000009371" "ENSG00000097007"
"26409" "ENSRNOG00000009377" "ENSG00000188986"
"26417" "ENSRNOG00000009378" "ENSG00000174444"
"26425" "ENSRNOG00000009382" "ENSG00000123600"
"26433" "ENSRNOG00000009385" "ENSG00000105851"
"26441" "ENSRNOG00000009389" "ENSG00000104312"
"26449" "ENSRNOG00000009397" "ENSG00000123444"
"26457" "ENSRNOG00000009398" "ENSG00000116205"
"26465" "ENSRNOG00000009401" "ENSG00000135363"
"26473" "ENSRNOG00000009402" "ENSG00000011454"
"26481" "ENSRNOG00000009403" "ENSG00000115827"
"26489" "ENSRNOG00000009406" "ENSG00000101337"
"26497" "ENSRNOG00000009411" "ENSG00000106069"
"26505" "ENSRNOG00000009412" "ENSG00000136141"
"26513" "ENSRNOG00000009414" "ENSG00000163703"
"26521" "ENSRNOG00000009421" "ENSG00000128928"
"26529" "ENSRNOG00000009422" "ENSG00000117305"
"26537" "ENSRNOG00000009427" "ENSG00000073861"
"26545" "ENSRNOG00000009430" "ENSG00000134697"
"26553" "ENSRNOG00000009431" "ENSG00000136111"
"26561" "ENSRNOG00000009432" "ENSG00000134001"
"26569" "ENSRNOG00000009433" "ENSG00000005059"
"26577" "ENSRNOG00000009436" "ENSG00000136929"
"26585" "ENSRNOG00000009437" "ENSG00000182944"
"26593" "ENSRNOG00000009438" "ENSG00000170099"
"26601" "ENSRNOG00000009446" "ENSG00000186350"
"26609" "ENSRNOG00000009448" "ENSG00000100767"
"26617" "ENSRNOG00000009449" "ENSG00000104228"
"26625" "ENSRNOG00000009451" "ENSG00000134748"
"26633" "ENSRNOG00000009453" "ENSG00000120162"
"26641" "ENSRNOG00000009459" "ENSG00000213699"
"26649" "ENSRNOG00000009460" "ENSG00000165650"
"26657" "ENSRNOG00000009462" "ENSG00000137500"
"26665" "ENSRNOG00000009465" "ENSG00000145423"
"26673" "ENSRNOG00000009470" "ENSG00000136068"
"26681" "ENSRNOG00000009471" "ENSG00000133106"
"26689" "ENSRNOG00000009473" "ENSG00000006025"
"26697" "ENSRNOG00000009474" "ENSG00000198231"
"26705" "ENSRNOG00000009478" "ENSG00000147894"
"26713" "ENSRNOG00000009481" "ENSG00000100523"
"26721" "ENSRNOG00000009484" "ENSG00000132300"
"26729" "ENSRNOG00000009487" "ENSG00000173890"
"26737" "ENSRNOG00000009491" "ENSG00000173889"
"26745" "ENSRNOG00000009492" "ENSG00000136932"
"26753" "ENSRNOG00000009495" "ENSG00000197122"
"26761" "ENSRNOG00000009499" "ENSG00000172273"
"26769" "ENSRNOG00000009503" "ENSG00000024526"
"26777" "ENSRNOG00000009506" "ENSG00000020922"
"26785" "ENSRNOG00000009508" "ENSG00000138794"
"26801" "ENSRNOG00000009512" "ENSG00000139684"
"26809" "ENSRNOG00000009513" "ENSG00000085662"
"26817" "ENSRNOG00000009515" "ENSG00000013375"
"26825" "ENSRNOG00000009519" "ENSG00000085831"
"26849" "ENSRNOG00000009523" "ENSG00000107560"
"26857" "ENSRNOG00000009530" "ENSG00000118939"
"26865" "ENSRNOG00000009535" "ENSG00000165283"
"26873" "ENSRNOG00000009536" "ENSG00000184207"
"26881" "ENSRNOG00000009538" "ENSG00000171503"
"26889" "ENSRNOG00000009539" "ENSG00000131773"
"26897" "ENSRNOG00000009545" "ENSG00000068654"
"26905" "ENSRNOG00000009548" "ENSG00000254685"
"26913" "ENSRNOG00000009549" "ENSG00000110429"
"26921" "ENSRNOG00000009550" "ENSG00000104549"
"26929" "ENSRNOG00000009552" "ENSG00000132824"
"26937" "ENSRNOG00000009564" "ENSG00000176532"
"26945" "ENSRNOG00000009566" "ENSG00000109118"
"26953" "ENSRNOG00000009567" "ENSG00000159111"
"26961" "ENSRNOG00000009568" "ENSG00000116478"
"26969" "ENSRNOG00000009570" "ENSG00000241360"
"26977" "ENSRNOG00000009575" "ENSG00000120942"
"26985" "ENSRNOG00000009576" "ENSG00000136936"
"26993" "ENSRNOG00000009585" "ENSG00000100207"
"27001" "ENSRNOG00000009589" "ENSG00000171819"
"27009" "ENSRNOG00000009592" "ENSG00000100243"
"27017" "ENSRNOG00000009593" "ENSG00000104047"
"27025" "ENSRNOG00000009594" "ENSG00000124216"
"27033" "ENSRNOG00000009595" "ENSG00000204859"
"27041" "ENSRNOG00000009596" "ENSG00000214655"
"27049" "ENSRNOG00000009597" "ENSG00000186204"
"27057" "ENSRNOG00000009598" "ENSG00000025770"
"27065" "ENSRNOG00000009605" "ENSG00000068323"
"27073" "ENSRNOG00000009613" "ENSG00000198478"
"27081" "ENSRNOG00000009615" "ENSG00000198793"
"27089" "ENSRNOG00000009617" "ENSG00000182473"
"27097" "ENSRNOG00000009620" "ENSG00000071967"
"27105" "ENSRNOG00000009625" "ENSG00000092964"
"27113" "ENSRNOG00000009629" "ENSG00000104267"
"27121" "ENSRNOG00000009630" "ENSG00000149084"
"27129" "ENSRNOG00000009636" "ENSG00000136193"
"27137" "ENSRNOG00000009639" "ENSG00000169249"
"27145" "ENSRNOG00000009640" "ENSG00000125818"
"27153" "ENSRNOG00000009642" "ENSG00000115484"
"27161" "ENSRNOG00000009643" "ENSG00000188895"
"27169" "ENSRNOG00000009652" "ENSG00000163558"
"27177" "ENSRNOG00000009653" "ENSG00000133961"
"27185" "ENSRNOG00000009658" "ENSG00000034677"
"27193" "ENSRNOG00000009661" "ENSG00000088451"
"27201" "ENSRNOG00000009663" "ENSG00000100823"
"27209" "ENSRNOG00000009664" "ENSG00000137494"
"27217" "ENSRNOG00000009667" "ENSG00000167965"
"27225" "ENSRNOG00000009673" "ENSG00000167536"
"27233" "ENSRNOG00000009675" "ENSG00000198752"
"27241" "ENSRNOG00000009681" "ENSG00000132589"
"27249" "ENSRNOG00000009683" "ENSG00000137575"
"27257" "ENSRNOG00000009687" "ENSG00000147144"
"27265" "ENSRNOG00000009689" "ENSG00000166181"
"27273" "ENSRNOG00000009690" "ENSG00000152193"
"27281" "ENSRNOG00000009694" "ENSG00000125378"
"27289" "ENSRNOG00000009696" "ENSG00000198625"
"27297" "ENSRNOG00000009705" "ENSG00000182866"
"27305" "ENSRNOG00000009709" "ENSG00000236320"
"27313" "ENSRNOG00000009711" "ENSG00000188175"
"27321" "ENSRNOG00000009712" "ENSG00000117308"
"27329" "ENSRNOG00000009713" "ENSG00000155463"
"27337" "ENSRNOG00000009715" "ENSG00000065833"
"27345" "ENSRNOG00000009716" "ENSG00000108349"
"27353" "ENSRNOG00000009718" "ENSG00000108733"
"27369" "ENSRNOG00000009719" "ENSG00000172375"
"27377" "ENSRNOG00000009722" "ENSG00000170004"
"27385" "ENSRNOG00000009723" "ENSG00000110536"
"27393" "ENSRNOG00000009724" "ENSG00000136925"
"27401" "ENSRNOG00000009729" "ENSG00000153560"
"27409" "ENSRNOG00000009734" "ENSG00000198074"
"27425" "ENSRNOG00000009739" "ENSG00000164961"
"27433" "ENSRNOG00000009742" "ENSG00000002016"
"27441" "ENSRNOG00000009745" "ENSG00000120910"
"27449" "ENSRNOG00000009749" "ENSG00000196998"
"27457" "ENSRNOG00000009754" "ENSG00000105835"
"27465" "ENSRNOG00000009756" "ENSG00000100266"
"27473" "ENSRNOG00000009760" "ENSG00000099864"
"27481" "ENSRNOG00000009761" "ENSG00000136842"
"27489" "ENSRNOG00000009766" "ENSG00000152749"
"27497" "ENSRNOG00000009778" "ENSG00000116209"
"27505" "ENSRNOG00000009779" "ENSG00000170421"
"27513" "ENSRNOG00000009781" "ENSG00000077380"
"27521" "ENSRNOG00000009782" "ENSG00000203965"
"27529" "ENSRNOG00000009783" "ENSG00000148660"
"27537" "ENSRNOG00000009785" "ENSG00000100526"
"27545" "ENSRNOG00000009789" "ENSG00000163781"
"27553" "ENSRNOG00000009795" "ENSG00000147862"
"27561" "ENSRNOG00000009797" "ENSG00000165272"
"27569" "ENSRNOG00000009799" "ENSG00000172269"
"27577" "ENSRNOG00000009802" "ENSG00000150510"
"27585" "ENSRNOG00000009805" "ENSG00000158195"
"27593" "ENSRNOG00000009808" "ENSG00000068885"
"27601" "ENSRNOG00000009811" "ENSG00000100528"
"27609" "ENSRNOG00000009812" "ENSG00000133812"
"27617" "ENSRNOG00000009819" "ENSG00000136451"
"27625" "ENSRNOG00000009820" "ENSG00000104765"
"27633" "ENSRNOG00000009822" "ENSG00000137462"
"27641" "ENSRNOG00000009823" "ENSG00000183011"
"27649" "ENSRNOG00000009824" "ENSG00000168310"
"27657" "ENSRNOG00000009830" "ENSG00000165669"
"27665" "ENSRNOG00000009832" "ENSG00000104635"
"27673" "ENSRNOG00000009836" "ENSG00000139746"
"27681" "ENSRNOG00000009837" "ENSG00000121210"
"27689" "ENSRNOG00000009845" "ENSG00000117054"
"27697" "ENSRNOG00000009846" "ENSG00000109536"
"27705" "ENSRNOG00000009848" "ENSG00000150782"
"27713" "ENSRNOG00000009849" "ENSG00000150456"
"27721" "ENSRNOG00000009850" "ENSG00000110080"
"27729" "ENSRNOG00000009851" "ENSG00000177058"
"27737" "ENSRNOG00000009856" "ENSG00000008282"
"27745" "ENSRNOG00000009857" "ENSG00000108592"
"27753" "ENSRNOG00000009862" "ENSG00000130558"
"27761" "ENSRNOG00000009867" "ENSG00000119699"
"27769" "ENSRNOG00000009870" "ENSG00000167874"
"27777" "ENSRNOG00000009872" "ENSG00000055118"
"27785" "ENSRNOG00000009873" "ENSG00000102786"
"27793" "ENSRNOG00000009875" "ENSG00000198074"
"27801" "ENSRNOG00000009878" "ENSG00000170275"
"27817" "ENSRNOG00000009882" "ENSG00000138814"
"27825" "ENSRNOG00000009884" "ENSG00000100097"
"27833" "ENSRNOG00000009886" "ENSG00000106080"
"27841" "ENSRNOG00000009887" "ENSG00000166233"
"27849" "ENSRNOG00000009888" "ENSG00000150779"
"27857" "ENSRNOG00000009889" "ENSG00000079739"
"27865" "ENSRNOG00000009891" "ENSG00000165494"
"27873" "ENSRNOG00000009893" "ENSG00000126756"
"27881" "ENSRNOG00000009894" "ENSG00000004766"
"27889" "ENSRNOG00000009896" "ENSG00000244045"
"27897" "ENSRNOG00000009899" "ENSG00000136603"
"27905" "ENSRNOG00000009902" "ENSG00000141294"
"27913" "ENSRNOG00000009906" "ENSG00000171790"
"27921" "ENSRNOG00000009907" "ENSG00000118113"
"27929" "ENSRNOG00000009910" "ENSG00000133789"
"27937" "ENSRNOG00000009912" "ENSG00000000938"
"27945" "ENSRNOG00000009920" "ENSG00000109971"
"27961" "ENSRNOG00000009921" "ENSG00000196136"
"27969" "ENSRNOG00000009928" "ENSG00000083123"
"27977" "ENSRNOG00000009930" "ENSG00000165282"
"27985" "ENSRNOG00000009932" "ENSG00000140563"
"27993" "ENSRNOG00000009934" "ENSG00000125037"
"28001" "ENSRNOG00000009935" "ENSG00000082898"
"28009" "ENSRNOG00000009936" "ENSG00000101191"
"28017" "ENSRNOG00000009945" "ENSG00000120756"
"28025" "ENSRNOG00000009946" "ENSG00000130164"
"28033" "ENSRNOG00000009948" "ENSG00000165782"
"28041" "ENSRNOG00000009950" "ENSG00000120458"
"28049" "ENSRNOG00000009953" "ENSG00000104497"
"28057" "ENSRNOG00000009954" "ENSG00000151893"
"28065" "ENSRNOG00000009956" "ENSG00000060237"
"28073" "ENSRNOG00000009957" "ENSG00000004864"
"28081" "ENSRNOG00000009958" "ENSG00000150776"
"28089" "ENSRNOG00000009960" "ENSG00000179950"
"28097" "ENSRNOG00000009963" "ENSG00000171793"
"28105" "ENSRNOG00000009968" "ENSG00000049167"
"28113" "ENSRNOG00000009970" "ENSG00000105928"
"28121" "ENSRNOG00000009971" "ENSG00000106086"
"28129" "ENSRNOG00000009972" "ENSG00000131759"
"28137" "ENSRNOG00000009974" "ENSG00000132423"
"28145" "ENSRNOG00000009977" "ENSG00000054118"
"28153" "ENSRNOG00000009980" "ENSG00000067113"
"28161" "ENSRNOG00000009982" "ENSG00000198805"
"28169" "ENSRNOG00000009983" "ENSG00000116212"
"28177" "ENSRNOG00000009987" "ENSG00000023516"
"28185" "ENSRNOG00000009990" "ENSG00000132485"
"28193" "ENSRNOG00000009992" "ENSG00000137955"
"28201" "ENSRNOG00000009993" "ENSG00000110063"
"28209" "ENSRNOG00000009994" "ENSG00000150768"
"28217" "ENSRNOG00000009995" "ENSG00000158987"
"28225" "ENSRNOG00000009997" "ENSG00000164307"
"28233" "ENSRNOG00000010005" "ENSG00000133597"
"28241" "ENSRNOG00000010007" "ENSG00000116350"
"28249" "ENSRNOG00000010008" "ENSG00000148606"
"28257" "ENSRNOG00000010011" "ENSG00000070882"
"28265" "ENSRNOG00000010015" "ENSG00000169704"
"28273" "ENSRNOG00000010017" "ENSG00000166483"
"28281" "ENSRNOG00000010018" "ENSG00000198178"
"28289" "ENSRNOG00000010021" "ENSG00000240682"
"28297" "ENSRNOG00000010023" "ENSG00000169359"
"28305" "ENSRNOG00000010024" "ENSG00000065615"
"28313" "ENSRNOG00000010027" "ENSG00000175054"
"28321" "ENSRNOG00000010028" "ENSG00000168495"
"28329" "ENSRNOG00000010029" "ENSG00000185262"
"28337" "ENSRNOG00000010031" "ENSG00000109072"
"28345" "ENSRNOG00000010034" "ENSG00000104763"
"28353" "ENSRNOG00000010037" "ENSG00000159023"
"28361" "ENSRNOG00000010038" "ENSG00000087191"
"28369" "ENSRNOG00000010041" "ENSG00000132388"
"28377" "ENSRNOG00000010042" "ENSG00000139668"
"28385" "ENSRNOG00000010048" "ENSG00000204843"
"28393" "ENSRNOG00000010058" "ENSG00000136158"
"28401" "ENSRNOG00000010060" "ENSG00000110218"
"28409" "ENSRNOG00000010064" "ENSG00000125257"
"28417" "ENSRNOG00000010065" "ENSG00000102780"
"28425" "ENSRNOG00000010067" "ENSG00000011009"
"28433" "ENSRNOG00000010068" "ENSG00000160539"
"28441" "ENSRNOG00000010071" "ENSG00000205208"
"28449" "ENSRNOG00000010078" "ENSG00000104450"
"28457" "ENSRNOG00000010079" "ENSG00000164879"
"28465" "ENSRNOG00000010081" "ENSG00000164124"
"28473" "ENSRNOG00000010083" "ENSG00000161542"
"28481" "ENSRNOG00000010084" "ENSG00000185728"
"28489" "ENSRNOG00000010085" "ENSG00000134873"
"28497" "ENSRNOG00000010086" "ENSG00000126003"
"28505" "ENSRNOG00000010087" "ENSG00000166478"
"28513" "ENSRNOG00000010090" "ENSG00000154781"
"28521" "ENSRNOG00000010091" "ENSG00000159658"
"28529" "ENSRNOG00000010096" "ENSG00000163512"
"28537" "ENSRNOG00000010098" "ENSG00000100558"
"28545" "ENSRNOG00000010099" "ENSG00000177981"
"28553" "ENSRNOG00000010100" "ENSG00000162971"
"28561" "ENSRNOG00000010103" "ENSG00000063046"
"28569" "ENSRNOG00000010104" "ENSG00000101346"
"28577" "ENSRNOG00000010105" "ENSG00000163191"
"28585" "ENSRNOG00000010107" "ENSG00000129116"
"28593" "ENSRNOG00000010109" "ENSG00000162408"
"28601" "ENSRNOG00000010116" "ENSG00000166477"
"28609" "ENSRNOG00000010117" "ENSG00000107581"
"28617" "ENSRNOG00000010119" "ENSG00000172667"
"28625" "ENSRNOG00000010121" "ENSG00000138795"
"28633" "ENSRNOG00000010124" "ENSG00000109654"
"28641" "ENSRNOG00000010125" "ENSG00000039123"
"28649" "ENSRNOG00000010126" "ENSG00000170468"
"28657" "ENSRNOG00000010128" "ENSG00000140284"
"28665" "ENSRNOG00000010131" "ENSG00000132669"
"28673" "ENSRNOG00000010133" "ENSG00000172331"
"28681" "ENSRNOG00000010134" "ENSG00000119673"
"28689" "ENSRNOG00000010134" "ENSG00000184227"
"28697" "ENSRNOG00000010137" "ENSG00000132953"
"28705" "ENSRNOG00000010141" "ENSG00000100271"
"28713" "ENSRNOG00000010147" "ENSG00000114209"
"28721" "ENSRNOG00000010149" "ENSG00000187118"
"28729" "ENSRNOG00000010150" "ENSG00000165209"
"28737" "ENSRNOG00000010153" "ENSG00000132155"
"28745" "ENSRNOG00000010154" "ENSG00000091732"
"28753" "ENSRNOG00000010155" "ENSG00000078674"
"28761" "ENSRNOG00000010156" "ENSG00000174446"
"28769" "ENSRNOG00000010160" "ENSG00000128915"
"28777" "ENSRNOG00000010161" "ENSG00000145555"
"28785" "ENSRNOG00000010164" "ENSG00000122140"
"28793" "ENSRNOG00000010165" "ENSG00000185215"
"28801" "ENSRNOG00000010169" "ENSG00000123472"
"28809" "ENSRNOG00000010170" "ENSG00000188229"
"28817" "ENSRNOG00000010171" "ENSG00000126767"
"28825" "ENSRNOG00000010174" "ENSG00000001561"
"28833" "ENSRNOG00000010176" "ENSG00000169032"
"28841" "ENSRNOG00000010178" "ENSG00000100532"
"28849" "ENSRNOG00000010180" "ENSG00000101193"
"28857" "ENSRNOG00000010181" "ENSG00000166527"
"28865" "ENSRNOG00000010183" "ENSG00000164125"
"28873" "ENSRNOG00000010184" "ENSG00000254999"
"28881" "ENSRNOG00000010185" "ENSG00000178074"
"28889" "ENSRNOG00000010194" "ENSG00000119650"
"28897" "ENSRNOG00000010196" "ENSG00000170266"
"28905" "ENSRNOG00000010204" "ENSG00000116857"
"28913" "ENSRNOG00000010205" "ENSG00000180354"
"28921" "ENSRNOG00000010208" "ENSG00000102265"
"28929" "ENSRNOG00000010209" "ENSG00000273899"
"28937" "ENSRNOG00000010210" "ENSG00000151012"
"28945" "ENSRNOG00000010214" "ENSG00000141295"
"28953" "ENSRNOG00000010217" "ENSG00000130723"
"28961" "ENSRNOG00000010218" "ENSG00000100664"
"28977" "ENSRNOG00000010219" "ENSG00000160271"
"28985" "ENSRNOG00000010224" "ENSG00000137502"
"28993" "ENSRNOG00000010227" "ENSG00000089916"
"29001" "ENSRNOG00000010230" "ENSG00000119979"
"29009" "ENSRNOG00000010232" "ENSG00000112796"
"29017" "ENSRNOG00000010233" "ENSG00000122786"
"29025" "ENSRNOG00000010234" "ENSG00000035681"
"29033" "ENSRNOG00000010235" "ENSG00000168734"
"29041" "ENSRNOG00000010237" "ENSG00000116871"
"29049" "ENSRNOG00000010239" "ENSG00000169714"
"29057" "ENSRNOG00000010240" "ENSG00000112773"
"29065" "ENSRNOG00000010241" "ENSG00000081870"
"29073" "ENSRNOG00000010244" "ENSG00000004139"
"29081" "ENSRNOG00000010248" "ENSG00000163536"
"29089" "ENSRNOG00000010252" "ENSG00000213614"
"29097" "ENSRNOG00000010253" "ENSG00000177575"
"29105" "ENSRNOG00000010257" "ENSG00000180891"
"29113" "ENSRNOG00000010260" "ENSG00000150764"
"29121" "ENSRNOG00000010262" "ENSG00000140287"
"29129" "ENSRNOG00000010265" "ENSG00000196839"
"29137" "ENSRNOG00000010266" "ENSG00000134061"
"29145" "ENSRNOG00000010267" "ENSG00000128607"
"29153" "ENSRNOG00000010270" "ENSG00000187017"
"29161" "ENSRNOG00000010274" "ENSG00000113810"
"29169" "ENSRNOG00000010275" "ENSG00000101194"
"29177" "ENSRNOG00000010277" "ENSG00000166411"
"29185" "ENSRNOG00000010282" "ENSG00000171840"
"29193" "ENSRNOG00000010283" "ENSG00000178562"
"29201" "ENSRNOG00000010284" "ENSG00000115525"
"29209" "ENSRNOG00000010286" "ENSG00000153113"
"29217" "ENSRNOG00000010291" "ENSG00000076351"
"29225" "ENSRNOG00000010296" "ENSG00000155465"
"29233" "ENSRNOG00000010298" "ENSG00000100219"
"29241" "ENSRNOG00000010299" "ENSG00000085832"
"29249" "ENSRNOG00000010301" "ENSG00000163412"
"29257" "ENSRNOG00000010303" "ENSG00000119401"
"29265" "ENSRNOG00000010306" "ENSG00000164032"
"29273" "ENSRNOG00000010309" "ENSG00000120837"
"29281" "ENSRNOG00000010315" "ENSG00000183813"
"29289" "ENSRNOG00000010316" "ENSG00000111196"
"29297" "ENSRNOG00000010319" "ENSG00000136167"
"29305" "ENSRNOG00000010330" "ENSG00000075413"
"29313" "ENSRNOG00000010331" "ENSG00000164733"
"29321" "ENSRNOG00000010332" "ENSG00000136783"
"29329" "ENSRNOG00000010342" "ENSG00000104231"
"29337" "ENSRNOG00000010347" "ENSG00000060140"
"29345" "ENSRNOG00000010350" "ENSG00000172348"
"29353" "ENSRNOG00000010352" "ENSG00000102580"
"29361" "ENSRNOG00000010358" "ENSG00000154447"
"29369" "ENSRNOG00000010359" "ENSG00000100290"
"29377" "ENSRNOG00000010361" "ENSG00000101350"
"29385" "ENSRNOG00000010362" "ENSG00000182718"
"29393" "ENSRNOG00000010363" "ENSG00000181610"
"29401" "ENSRNOG00000010365" "ENSG00000008056"
"29409" "ENSRNOG00000010369" "ENSG00000067248"
"29417" "ENSRNOG00000010370" "ENSG00000145901"
"29425" "ENSRNOG00000010379" "ENSG00000149187"
"29433" "ENSRNOG00000010386" "ENSG00000188486"
"29441" "ENSRNOG00000010389" "ENSG00000165795"
"29449" "ENSRNOG00000010390" "ENSG00000256269"
"29457" "ENSRNOG00000010392" "ENSG00000157168"
"29465" "ENSRNOG00000010396" "ENSG00000158161"
"29473" "ENSRNOG00000010406" "ENSG00000170835"
"29481" "ENSRNOG00000010407" "ENSG00000139197"
"29489" "ENSRNOG00000010408" "ENSG00000147669"
"29497" "ENSRNOG00000010409" "ENSG00000165271"
"29505" "ENSRNOG00000010410" "ENSG00000196136"
"29513" "ENSRNOG00000010412" "ENSG00000197816"
"29521" "ENSRNOG00000010417" "ENSG00000197183"
"29529" "ENSRNOG00000010418" "ENSG00000137601"
"29537" "ENSRNOG00000010421" "ENSG00000105875"
"29545" "ENSRNOG00000010427" "ENSG00000205339"
"29553" "ENSRNOG00000010428" "ENSG00000140320"
"29561" "ENSRNOG00000010434" "ENSG00000144635"
"29569" "ENSRNOG00000010435" "ENSG00000136243"
"29577" "ENSRNOG00000010436" "ENSG00000116809"
"29585" "ENSRNOG00000010438" "ENSG00000205560"
